zone_id,year,flood_days,avg_degradation,avg_drift_memory,max_load_ratio,avg_rainfall
0,1,99,0.022292602739726025,0.04622931506849315,1.7349,77.41323
0,2,93,0.08497287671232877,0.08531260273972603,1.1605,77.52241
0,3,96,0.13925041095890411,0.11617013698630137,1.7933,78.88693
0,4,108,0.1778150684931507,0.140486301369863,2.3156,79.47346
0,5,93,0.21651150684931508,0.16042493150684933,2.4992,78.50208
1,1,0,0.017233150684931507,0.10522630136986302,0.3373,87.40022
1,2,0,0.08254301369863014,0.10949013698630138,0.2062,86.95126
1,3,0,0.12462493150684932,0.10133095890410958,0.3845,87.599014
1,4,0,0.15578630136986302,0.09407287671232877,0.2881,87.19323
1,5,0,0.2066849315068493,0.11200383561643835,0.2079,86.96394
2,1,1,0.006791506849315068,0.07732684931506849,0.859,84.21263
2,2,0,0.04382986301369863,0.049459452054794524,0.5826,82.91474
2,3,0,0.08360465753424658,0.0669813698630137,0.6316,84.13855
2,4,0,0.139713698630137,0.09823945205479452,0.5925,84.4626
2,5,1,0.2185104109589041,0.13393123287671233,1.1012,84.672134
3,1,0,0.014101643835616438,0.06296301369863014,0.735,80.95718
3,2,0,0.058055342465753425,0.057696438356164385,0.7658,82.00036
3,3,0,0.10478520547945205,0.07772356164383562,0.8001,81.07502
3,4,3,0.15381479452054794,0.10480493150684932,1.0956,83.024796
3,5,1,0.18590739726027397,0.11278904109589041,1.0982,81.39077
4,1,0,0.01296054794520548,0.058306575342465757,0.7744,75.180435
4,2,1,0.05271205479452054,0.0533186301369863,0.8564,73.71869
4,3,2,0.1076909589041096,0.08143287671232877,1.2171,74.56984
4,4,0,0.18201397260273974,0.12442301369863014,0.7715,73.99909
4,5,4,0.2516468493150685,0.1491772602739726,1.4955,76.12109
5,1,0,0.029735342465753427,0.08844383561643834,0.8424,74.4226
5,2,0,0.06148328767123288,0.07234328767123288,0.451,74.70409
5,3,0,0.11761972602739725,0.08062630136986301,0.6519,75.754684
5,4,1,0.17076383561643835,0.10497178082191781,0.9813,76.601395
5,5,1,0.2159358904109589,0.11786082191780821,0.9773,75.930305
6,1,0,0.01654904109589041,0.16867041095890412,0.2042,72.03027
6,2,0,0.03080219178082192,0.08868301369863014,0.313,73.65364
6,3,0,0.04902739726027397,0.05557972602739726,0.3171,73.829285
6,4,0,0.09776739726027397,0.08015452054794521,0.332,73.53855
6,5,0,0.1504827397260274,0.10483534246575342,0.3814,73.86773
7,1,0,0.026264109589041094,0.1561454794520548,0.3259,85.94452
7,2,0,0.06398383561643835,0.08385150684931507,0.307,85.64995
7,3,0,0.0877490410958904,0.0747082191780822,0.439,87.131836
7,4,0,0.10488109589041095,0.08196849315068494,0.4342,86.697754
7,5,0,0.16325671232876712,0.10802191780821917,0.3834,86.55014
8,1,2,0.026361369863013698,0.046634246575342465,0.872,82.09586
8,2,0,0.07706054794520548,0.07102712328767123,0.6591,80.70318
8,3,1,0.09688904109589042,0.07445068493150685,1.0437,82.44342
8,4,1,0.12323999999999999,0.07995397260273972,1.2966,82.37343
8,5,0,0.16449287671232876,0.0944654794520548,0.8208,81.65066
9,1,1,0.004393972602739726,0.06641835616438356,0.882,83.155945
9,2,0,0.026597260273972603,0.03522191780821918,0.697,83.61408
9,3,0,0.05884246575342465,0.052655616438356166,0.6825,82.66392
9,4,3,0.08074219178082191,0.06597150684931506,1.1229,85.09392
9,5,1,0.10495150684931506,0.07848328767123287,1.3971,83.78964
10,1,4,0.022467397260273973,0.027402465753424657,1.3959,72.91997
10,2,0,0.04937150684931507,0.04068,0.8447,72.29386
10,3,2,0.071406301369863,0.0521172602739726,1.2246,72.17729
10,4,4,0.10581780821917808,0.07111534246575342,1.1635,73.01543
10,5,1,0.11619068493150685,0.07314958904109589,1.2972,72.14315
11,1,29,0.009945205479452055,0.054894520547945205,1.787,88.62192
11,2,20,0.06170219178082192,0.05486657534246575,0.9431,87.60838
11,3,27,0.12536684931506847,0.09619780821917809,1.954,88.11214
11,4,23,0.1547021917808219,0.11133534246575343,1.7611,87.76803
11,5,27,0.17793972602739724,0.11847424657534246,2.1275,89.07331
12,1,3,0.013032602739726028,0.016995068493150686,1.3924,85.55161
12,2,1,0.03777095890410959,0.028115068493150687,0.8484,85.66814
