zone_id,total_flood_days,flood_rate,avg_degradation,final_degradation,max_degradation,avg_drift_memory,final_drift_memory,max_drift_memory,avg_load_ratio,max_load_ratio,avg_d1,avg_d2,avg_d3,final_w1,final_w2,final_w3,avg_adaptive_thresh,final_adaptive_thresh,flood_trend_slope,flood_acceleration,land_use,drain_material,drain_age_yrs,drain_capacity,infra_health_score,elevation_m,grid_row,grid_col,flood_classification
0,489,0.26794520547945205,0.12816849315068493,0.2547,0.2547,0.10972465753424658,0.1494,0.3945,0.6223147945205479,2.4992,0.12816849315068493,0.08041495890410959,0.169873698630137,0.2,0.75,0.0501,0.8412217534246575,0.838,0.29999999999999927,105,residential_dense,clay,12,72.32,77.1,14.33,0,0,ACUTE
1,0,0.0,0.11737446575342467,0.2189,0.2189,0.10442482191780822,0.1106,0.123,0.11713665753424658,0.3845,0.11737446575342467,0.013834027397260274,0.34829835616438354,0.3699,0.5801,0.05,0.8416463561643835,0.8412,0.0,0,green_space,cast_iron,27,109.76,55.9,14.01,0,1,SAFE
2,2,0.001095890410958904,0.09849002739726027,0.2364,0.2364,0.08518767123287671,0.1111,0.2199,0.30843386301369863,1.1012,0.09849002739726027,0.030441424657534244,0.3489296438356164,0.2758,0.6742,0.05,0.8431853698630137,0.8411,5.84827386350927e-17,0,residential_light,concrete,11,109.44,82.5,15.06,0,2,SAFE
3,4,0.002191780821917808,0.10333287671232877,0.2004,0.2004,0.08319539726027397,0.0878,0.1817,0.3764876164383562,1.0982,0.10333287671232877,0.038730246575342464,0.25072898630136986,0.2218,0.7282,0.05,0.8433450410958905,0.843,0.5000000000000001,4,residential_light,pvc,17,86.4,70.4,16.15,0,3,SAFE
4,7,0.0038356164383561643,0.12140487671232876,0.2713,0.2713,0.09333167123287671,0.0743,0.3232,0.41744076712328765,1.4955,0.12140487671232876,0.05117572602739726,0.24427983561643835,0.1185,0.8315,0.05,0.8425333698630136,0.8441,0.7000000000000001,5,residential_light,clay,16,69.76,67.8,14.57,0,4,SAFE
5,2,0.001095890410958904,0.11910761643835616,0.2246,0.2246,0.09284920547945207,0.0963,0.1997,0.23331950684931507,0.9813,0.11910761643835616,0.0278586301369863,0.3043802191780822,0.2754,0.6746,0.05,0.8425717808219179,0.8423,0.30000000000000016,2,residential_light,cast_iron,12,126.56,75.0,14.71,0,5,SAFE
6,0,0.0,0.06892575342465754,0.1615,0.1615,0.09958460273972602,0.1045,0.2065,0.10798728767123288,0.3814,0.06892575342465754,0.007519945205479452,0.6087642739726027,0.423,0.527,0.05,0.8420342465753425,0.8416,0.0,0,green_space,pvc,5,96.0,86.6,16.63,0,6,SAFE
7,0,0.0,0.08922695890410959,0.1932,0.1932,0.10093912328767123,0.1122,0.1973,0.13933435616438355,0.439,0.08922695890410959,0.012422958904109589,0.5826031780821918,0.388,0.562,0.05,0.841925205479452,0.841,0.0,0,green_space,pvc,11,91.2,83.9,15.89,0,7,SAFE
8,4,0.002191780821917808,0.09760876712328767,0.1768,0.1768,0.073306301369863,0.0735,0.1344,0.36741227397260273,1.2966,0.09760876712328767,0.03610504109589041,0.14138224657534249,0.2187,0.7313,0.05,0.8441357808219179,0.8441,-0.3,0,residential_light,hdpe,24,88.88,57.8,14.72,0,8,SAFE
9,5,0.0027397260273972603,0.055105479452054795,0.1522,0.1522,0.05975013698630137,0.0941,0.1197,0.37449753424657534,1.3971,0.055105479452054795,0.020584328767123287,0.30050328767123285,0.3682,0.5818,0.05,0.8452197808219178,0.8425,0.3000000000000001,3,residential_light,pvc,13,89.6,78.7,15.78,0,9,SAFE
