zone_id,grid_row,grid_col,x_m,y_m,elevation_m,land_use,runoff_coeff,drain_material,drain_age_yrs,drain_capacity,degradation_rate,degradation_factor,soil_saturation,drift_memory,drift_w1,drift_w2,drift_w3,nearest_drain_node,dist_to_drain_m,infra_health_score,blockage_prob_initial,ideal_flow_efficiency
0,0,0,100.0,100.0,14.33,residential_dense,0.8,clay,12,72.32,0.0006,0.2546898402595518,52.518745,0.14940080720334534,0.19997654857680577,0.7499521215565427,0.05007132986665145,J_0_0,141.4,77.1,0.2029,0.655
1,0,1,300.0,100.0,14.01,green_space,0.2,cast_iron,27,109.76,0.0004,0.21892556888234233,57.873825,0.11059374477003206,0.36993148206882775,0.5800593966279436,0.05000912130322867,J_0_0,316.2,55.9,0.2514,0.475
2,0,2,500.0,100.0,15.06,residential_light,0.55,concrete,11,109.44,0.0003,0.23640966375584233,49.5283,0.11107109041514207,0.275785527259702,0.6741971642022592,0.05001730853803874,J_0_0,509.9,82.5,0.1443,0.701
3,0,3,700.0,100.0,16.15,residential_light,0.55,pvc,17,86.4,0.0002,0.200437016456633,47.99164,0.08777848535871266,0.22181843116424013,0.7281629923001924,0.05001857653556745,J_0_5,316.2,70.4,0.1957,0.598
4,0,4,900.0,100.0,14.57,residential_light,0.55,clay,16,69.76,0.0006,0.2712901256687849,35.372932,0.07430761884856747,0.1185052974908004,0.8314828880721816,0.0500118144370179,J_0_5,141.4,67.8,0.1871,0.576
5,0,5,1100.0,100.0,14.71,residential_light,0.55,cast_iron,12,126.56,0.0004,0.22458484977286952,37.460518,0.09627636588257257,0.27538229381658713,0.6746069099220661,0.050010796261346774,J_0_5,141.4,75.0,0.1529,0.638
6,0,6,1300.0,100.0,16.63,green_space,0.2,pvc,5,96.0,0.0002,0.1615287636212015,35.00334,0.10452667719177411,0.4229509257524504,0.5270451747115887,0.05000389953596075,J_0_5,316.2,86.6,0.0629,0.736
7,0,7,1500.0,100.0,15.89,green_space,0.2,pvc,11,91.2,0.0002,0.1932263323291078,45.38997,0.11222609717490964,0.3880024197952423,0.5619923027364668,0.0500052774682908,J_0_5,509.9,83.9,0.1143,0.713
8,0,8,1700.0,100.0,14.72,residential_light,0.55,hdpe,24,88.88,0.00015,0.1767800840276982,45.546566,0.07354834189560046,0.21869968773866558,0.731283459242864,0.050016853018470496,J_0_10,316.2,57.8,0.2557,0.491
9,0,9,1900.0,100.0,15.78,residential_light,0.55,pvc,13,89.6,0.0002,0.1521709408893817,47.523487,0.09407187241385329,0.36822586960043546,0.581756474290451,0.05001765610911356,J_0_10,141.4,78.7,0.1614,0.669
