feature,importance
load_ratio,0.9879016874908743
drift_memory_roll7_mean,0.00442272103594753
drift_memory,0.003801354787207388
drift_index,0.0036548780813236838
d2_stress,9.15545993265219e-05
load_ratio_roll7_max,2.9144778520060444e-05
rainfall_mm_roll7_mean,1.6893854921713967e-05
rainfall_trend,1.5052469496196951e-05
d1_hydraulic,1.4453700857641659e-05
degradation_factor_roll7_mean,1.3502384921221887e-05
d3_efficiency,7.110454092340582e-06
soil_saturation,6.71104009156735e-06
drain_capacity,5.528015496598508e-06
load_ratio_roll7_mean,4.0730626551567305e-06
infra_health_score,3.3642973064992928e-06
degradation_factor,2.4829846172069087e-06
day_of_year,2.413532649082521e-06
rainfall_mm_roll7_max,2.0698979741289387e-06
rainfall_mm,1.965026117121089e-06
eff_runoff,1.5821730180850462e-06
drain_age_yrs,1.4144039906757847e-06
runoff_coeff,4.1928595251460786e-08
