zone_id,total_flood_days,flood_rate,avg_degradation,final_degradation,max_degradation,avg_drift_memory,final_drift_memory,max_drift_memory,avg_load_ratio,max_load_ratio,avg_d1,avg_d2,avg_d3,final_w1,final_w2,final_w3,avg_adaptive_thresh,final_adaptive_thresh,flood_trend_slope,flood_acceleration,land_use,drain_material,drain_age_yrs,drain_capacity,infra_health_score,elevation_m,grid_row,grid_col,flood_classification,cluster,pca1,pca2,x_m,y_m,maintenance_priority_score,maintenance_rank,priority_tier
0,1158,0.31726027397260276,0.203660602739726,0.3,0.3,0.15275545205479452,0.1346,0.4376,0.6629065,2.3242,0.203660602739726,0.13492449315068494,0.20507109589041095,0.05,0.9,0.05,0.837779095890411,0.8392,0.8242424242424244,22,residential_dense,clay,12,72.32,77.1,14.33,0,0,ACUTE,3,2.8349397199456914,2.3450371304428472,100.0,100.0,0.6839,104,HIGH
1,0,0.0,0.14648057534246575,0.3,0.3,0.09691923287671234,0.0965,0.1638,0.100203015,0.3691,0.14648057534246575,0.014671095890410959,0.35677073972602735,0.2239,0.7261,0.05,0.8422458356164383,0.8423,0.0,0,green_space,cast_iron,27,109.76,55.9,14.01,0,1,SAFE,4,-3.0784773394884946,-0.9120330854718257,300.0,100.0,0.4572,966,MEDIUM
2,4,0.001095890410958904,0.15361093150684932,0.2681,0.2681,0.08879720547945205,0.0667,0.1774,0.2943232,0.9856,0.15361093150684932,0.045240109589041094,0.37397169863013696,0.05,0.9,0.05,0.8428963835616439,0.8447,-0.07272727272727281,-4,residential_light,concrete,11,109.44,82.5,15.06,0,2,SAFE,2,-2.1221635934877137,-0.2037146285063556,500.0,100.0,0.3096,2451,MEDIUM
3,7,0.0019178082191780822,0.15305635616438357,0.2981,0.2981,0.09019178082191781,0.0781,0.276,0.38874665,1.2697,0.15305635616438357,0.059413369863013696,0.26751287671232876,0.05,0.9,0.05,0.8427840821917808,0.8438,-0.12727272727272718,-3,residential_light,pvc,17,86.4,70.4,16.15,0,3,SAFE,2,-1.5673155633882518,-0.16963561396188037,700.0,100.0,0.4159,1714,MEDIUM
4,15,0.00410958904109589,0.21347638356164383,0.3,0.3,0.11850112328767123,0.0854,0.2872,0.4123891,1.6117,0.21347638356164383,0.08793186301369862,0.2797238356164383,0.05,0.9,0.05,0.8405201917808219,0.8432,-0.2727272727272728,-9,residential_light,clay,16,69.76,67.8,14.57,0,4,SAFE,1,-0.3448960245673309,-1.0979254746207818,900.0,100.0,0.4293,1348,MEDIUM
5,4,0.001095890410958904,0.19491517808219178,0.3,0.3,0.09427893150684932,0.0653,0.272,0.22368778,1.0207,0.19491517808219178,0.043594,0.3358257534246575,0.05,0.9,0.05,0.8424577260273972,0.8448,0.07272727272727275,4,residential_light,cast_iron,12,126.56,75.0,14.71,0,5,SAFE,1,-1.3113711463437392,-0.04427686035494594,1100.0,100.0,0.4011,2127,MEDIUM
6,0,0.0,0.19023054794520547,0.3,0.3,0.12017052054794522,0.0731,0.2071,0.10662356,0.3801,0.19023054794520547,0.020270739726027397,0.6255985479452054,0.0986,0.8514,0.05,0.8403863013698629,0.8442,0.0,0,green_space,pvc,5,96.0,86.6,16.63,0,6,SAFE,4,-2.5442644974533573,-0.7242144351686994,1300.0,100.0,0.3956,2253,MEDIUM
7,0,0.0,0.16924575342465753,0.3,0.3,0.10661213698630137,0.0663,0.1964,0.13815668,0.4804,0.16924575342465753,0.023349780821917805,0.5942559726027397,0.05,0.9,0.05,0.841470602739726,0.8447,0.0,0,green_space,pvc,11,91.2,83.9,15.89,0,7,SAFE,1,-2.572062188432185,-0.2510836715515677,1500.0,100.0,0.397,2224,MEDIUM
8,9,0.002465753424657534,0.1565073698630137,0.3,0.3,0.08111512328767123,0.0536,0.2456,0.3257888,1.2539,0.1565073698630137,0.05111871232876713,0.17287016438356165,0.05,0.9,0.05,0.8435101095890412,0.8457,-0.12727272727272718,-3,residential_light,hdpe,24,88.88,57.8,14.72,0,8,SAFE,2,-1.7625361591713167,-0.1051188017005058,1700.0,100.0,0.4039,2046,MEDIUM
9,11,0.0030136986301369864,0.1932611506849315,0.3,0.3,0.1047402191780822,0.0879,0.2957,0.3357908,1.3241,0.1932611506849315,0.0648484109589041,0.36211164383561645,0.05,0.9,0.05,0.8416213424657534,0.843,-0.07878787878787859,-3,residential_light,pvc,13,89.6,78.7,15.78,0,9,SAFE,1,-0.9411150685052769,-0.5353393151988688,1900.0,100.0,0.427,1400,MEDIUM
10,101,0.027671232876712328,0.15797471232876714,0.3,0.3,0.09209523287671233,0.1159,0.3892,0.49883783,1.766,0.15797471232876714,0.07889309589041095,0.09781038356164384,0.05,0.9,0.05,0.8426329863013698,0.8407,0.5636363636363632,7,residential_dense,hdpe,16,95.92,66.4,14.82,0,10,MODERATE,2,0.11715251050707262,1.1281636384646085,2100.0,100.0,0.5011,685,HIGH
11,111,0.030410958904109588,0.18497060273972601,0.3,0.3,0.10899490410958904,0.0862,0.4613,0.4969012,1.932,0.18497060273972601,0.09165213698630137,0.10704383561643835,0.05,0.9,0.05,0.8412794520547945,0.8431,0.01818181818181808,9,industrial,cast_iron,33,103.04,45.3,14.88,0,11,ACUTE,1,0.0893571990885703,0.45235484872057236,2300.0,100.0,0.4718,864,MEDIUM
12,13,0.003561643835616438,0.15620413698630137,0.2841,0.2841,0.0697535890410959,0.1301,0.1367,0.43753934,1.705,0.15620413698630137,0.06829490410958904,0.05733342465753424,0.05,0.158,0.792,0.844419095890411,0.8396,0.054545454545454564,3,residential_light,pvc,33,73.6,43.9,15.67,0,12,SAFE,0,2.0919388218738844,-1.9824623564075123,2500.0,100.0,0.4659,904,MEDIUM
13,558,0.15287671232876712,0.18501649315068494,0.3,0.3,0.11869123287671234,0.0645,0.5496,0.5509951,2.2613,0.18501649315068494,0.1021888493150685,0.09566882191780822,0.05,0.9,0.05,0.8405044383561644,0.8448,0.7151515151515142,8,residential_dense,pvc,31,75.2,41.3,13.61,0,13,ACUTE,3,0.6161576479839834,1.6369976588613993,2700.0,100.0,0.5385,535,HIGH
14,259,0.07095890410958904,0.21850572602739726,0.3,0.3,0.12768164383561645,0.0752,0.4023,0.53063196,2.0298,0.21850572602739726,0.11579813698630137,0.053690904109589044,0.05,0.9,0.05,0.8397864383561644,0.844,0.7333333333333326,19,residential_dense,concrete,26,95.04,50.0,13.92,0,14,ACUTE,3,1.405531311441581,1.7064617563495792,2900.0,100.0,0.4997,692,MEDIUM
15,11,0.0030136986301369864,0.17146520547945204,0.3,0.3,0.10248353424657534,0.0952,0.3299,0.37118888,1.2793,0.17146520547945204,0.06352071232876712,0.40384509589041095,0.05,0.9,0.05,0.8418009589041096,0.8424,-0.0666666666666668,-7,residential_light,pvc,6,95.2,86.0,15.24,0,15,SAFE,1,-1.3169183510408504,-0.5411287603154694,3100.0,100.0,0.4245,1465,MEDIUM
16,4,0.001095890410958904,0.19559416438356164,0.3,0.3,0.10371183561643836,0.0612,0.2513,0.27723488,1.1313,0.19559416438356164,0.054148575342465755,0.44574493150684935,0.05,0.9,0.05,0.8417020000000001,0.8451,0.03636363636363631,0,residential_light,concrete,5,115.2,89.0,14.99,0,16,SAFE,1,-1.5136342475978888,-0.2537505105173225,3300.0,100.0,0.3838,2377,MEDIUM
17,0,0.0,0.2092012876712329,0.3,0.3,0.10402868493150685,0.0707,0.2091,0.17147288,0.7119,0.2092012876712329,0.03585331506849315,0.48062865753424655,0.05,0.9,0.05,0.8416777534246574,0.8443,0.0,0,green_space,clay,17,69.12,69.6,16.54,0,17,SAFE,1,-1.515580096670825,-0.5525972798580223,3500.0,100.0,0.4115,1834,MEDIUM
18,692,0.18958904109589042,0.14740224657534245,0.3,0.3,0.07882416438356164,0.1467,0.2237,0.5952185,2.2685,0.14740224657534245,0.08753712328767123,0.05868019178082192,0.05,0.2831,0.6668,0.8436941643835616,0.8383,0.41212121212121205,4,residential_dense,pvc,22,82.4,59.7,15.58,0,18,ACUTE,0,2.843524317924938,-0.6798104724869125,3700.0,100.0,0.6275,229,HIGH
19,59,0.016164383561643837,0.19674068493150684,0.3,0.3,0.10784315068493151,0.0644,0.4922,0.46113372,2.0209,0.19674068493150684,0.09052860273972603,0.07694945205479452,0.05,0.9,0.05,0.8413731506849316,0.8448,0.21212121212121227,7,residential_dense,concrete,30,91.2,43.9,15.37,0,19,SAFE,1,0.012202942064962027,0.5594244110285793,3900.0,100.0,0.4421,1120,MEDIUM
20,10,0.0027397260273972603,0.1950527397260274,0.3,0.3,0.10594391780821917,0.0917,0.3239,0.37259975,1.5259,0.1950527397260274,0.07235372602739726,0.28798621917808215,0.05,0.9,0.05,0.8415239452054794,0.8427,-0.15757575757575765,-6,residential_light,pvc,17,86.4,70.5,18.57,0,20,SAFE,1,-0.6775473270803194,-0.741530267146402,4100.0,100.0,0.4375,1186,MEDIUM
21,4,0.001095890410958904,0.18415117808219178,0.3,0.3,0.06465205479452055,0.0876,0.1305,0.31704348,1.2936,0.18415117808219178,0.05842123287671233,0.04664928767123288,0.05,0.367,0.583,0.8448279178082192,0.843,-0.04848484848484841,-2,residential_light,concrete,32,89.28,38.8,17.22,0,21,SAFE,0,1.084849498000545,-1.8538882070662759,4300.0,100.0,0.4553,975,MEDIUM
22,0,0.0,0.16462991780821917,0.3,0.3,0.10508016438356164,0.0792,0.1602,0.11529734,0.4188,0.16462991780821917,0.019019205479452055,0.4845843835616438,0.1322,0.8178,0.05,0.8415931232876712,0.8437,0.0,0,green_space,concrete,15,105.6,70.9,17.85,0,22,SAFE,4,-2.7477143657127776,-0.6177687025592504,4500.0,100.0,0.4183,1645,MEDIUM
23,0,0.0,0.1668901917808219,0.3,0.3,0.09507923287671233,0.0551,0.1632,0.13969116,0.5198,0.1668901917808219,0.02336517808219178,0.39852501369863014,0.05,0.9,0.05,0.8423938904109589,0.8456,0.0,0,green_space,hdpe,21,91.52,60.9,16.7,0,23,SAFE,2,-2.3505177290561154,-0.11500208267311454,4700.0,100.0,0.3996,2171,MEDIUM
24,9,0.002465753424657534,0.2172330684931507,0.3,0.3,0.10624887671232877,0.07,0.2654,0.33248612,1.1655,0.2172330684931507,0.0721017808219178,0.25007238356164385,0.05,0.9,0.05,0.8415003561643835,0.8444,-0.1030303030303029,-5,residential_light,concrete,19,101.76,65.4,17.9,0,24,SAFE,1,-0.5376997896237763,-0.74116190230158,4900.0,100.0,0.4152,1731,MEDIUM
25,10,0.0027397260273972603,0.19194632876712328,0.3,0.3,0.09979057534246574,0.0719,0.3572,0.3193927,1.4096,0.19194632876712328,0.06111224657534246,0.309210904109589,0.05,0.9,0.05,0.8420169589041095,0.8442,0.09696969696969703,0,residential_dense,cast_iron,8,131.04,88.5,18.85,0,25,SAFE,1,-1.013998758256682,-0.10544361692984304,5100.0,100.0,0.4044,2026,MEDIUM
26,0,0.0,0.1872565479452055,0.3,0.3,0.12486865753424657,0.0975,0.2043,0.09204499,0.3474,0.1872565479452055,0.017244657534246574,0.6215502191780822,0.1683,0.7817,0.05,0.8400101643835617,0.8422,0.0,0,green_space,concrete,6,114.24,86.2,17.84,0,26,SAFE,4,-2.6723076266784034,-1.1257568231118584,5300.0,100.0,0.4256,1434,MEDIUM
27,17,0.004657534246575342,0.13230364383561644,0.3,0.3,0.08266983561643834,0.0854,0.3659,0.4306567,1.8713,0.13230364383561644,0.0568881095890411,0.2040819178082192,0.05,0.9,0.05,0.8433862191780822,0.8432,-0.018181818181818032,-1,residential_dense,hdpe,11,100.32,80.3,19.56,0,27,SAFE,2,-1.598707155687634,0.23914815181760954,5500.0,100.0,0.4218,1547,MEDIUM
28,13,0.003561643835616438,0.14356616438356162,0.3,0.3,0.08689884931506849,0.0922,0.2661,0.40486947,1.7541,0.14356616438356162,0.05814841095890411,0.23800676712328767,0.05,0.9,0.05,0.8430479452054794,0.8426,-0.10303030303030301,-1,residential_dense,hdpe,10,101.2,82.9,18.71,0,28,SAFE,2,-1.428616076752059,-0.008120977427581218,5700.0,100.0,0.4276,1382,MEDIUM
29,724,0.19835616438356166,0.14852695890410958,0.3,0.3,0.08640353424657535,0.1179,0.3067,0.59414035,2.2509,0.14852695890410958,0.08809643835616439,0.062393643835616436,0.05,0.5783,0.3717,0.843087698630137,0.8406,0.6181818181818169,24,industrial,pvc,19,84.8,61.3,19.08,0,29,ACUTE,3,1.9645747851873894,1.4510932396868066,5900.0,100.0,0.6025,299,HIGH
30,9,0.002465753424657534,0.1515515616438356,0.3,0.3,0.0885285205479452,0.0742,0.3174,0.3581366,1.2759,0.1515515616438356,0.05441816438356164,0.29650131506849314,0.05,0.9,0.05,0.8429177534246576,0.8441,-0.10303030303030283,-1,residential_light,hdpe,15,96.8,74.1,18.75,0,30,SAFE,2,-1.732954005757697,-0.05112781665848878,6100.0,100.0,0.4138,1773,MEDIUM
31,0,0.0,0.15534038356164384,0.3,0.3,0.08265109589041095,0.0485,0.1683,0.15220654,0.5658,0.15534038356164384,0.023659999999999997,0.2446526301369863,0.05,0.9,0.05,0.843386904109589,0.8461,0.0,0,green_space,pvc,30,76.0,42.7,21.1,0,31,SAFE,2,-2.286017652694507,0.07570594641478484,6300.0,100.0,0.406,1983,MEDIUM
32,6,0.0016438356164383563,0.1823244931506849,0.3,0.3,0.08998416438356165,0.0601,0.2494,0.28372633,1.0785,0.1823244931506849,0.05182641095890411,0.24354449315068494,0.05,0.9,0.05,0.842801397260274,0.8452,0.012121212121212302,2,residential_light,concrete,17,103.68,65.1,19.04,0,32,SAFE,1,-1.3138404786397975,-0.0022419057717624072,6500.0,100.0,0.4006,2140,MEDIUM
