zone_id,w1_initial,w2_initial,w3_initial,w1_final,w2_final,w3_final,w1_var,w2_var,w3_var,land_use,drain_material,grid_row,grid_col,dominant_component,w1_shift,w2_shift,w3_shift
0,0.3379,0.3379,0.3242,0.05,0.9,0.05,2.440761201581561e-07,7.289199632705741e-07,1.3430388096621064e-07,residential_dense,clay,0,0,StressMismatch(d2),-0.2879,0.5621,-0.2742
1,0.3346,0.3346,0.3307,0.2239,0.7261,0.05,0.0011215682950733675,0.001121481243708176,1.3679890560873757e-11,green_space,cast_iron,0,1,StressMismatch(d2),-0.1107,0.3915,-0.2807
2,0.3376,0.3376,0.3248,0.05,0.9,0.05,0.0,4.811948353723576e-10,0.0,residential_light,concrete,0,2,StressMismatch(d2),-0.2876,0.5624,-0.2748
3,0.3376,0.3376,0.3247,0.05,0.9,0.05,5.543916196614805e-10,2.3634728182340025e-09,5.543916196614805e-10,residential_light,pvc,0,3,StressMismatch(d2),-0.2876,0.5624,-0.2747
4,0.3373,0.3374,0.3253,0.05,0.9,0.05,1.4915203418099352e-09,2.7040083953360496e-09,1.4915203418099352e-09,residential_light,clay,0,4,StressMismatch(d2),-0.2873,0.5626,-0.2753
5,0.336,0.336,0.328,0.05,0.9,0.05,1.3679890560873452e-11,5.4494687330112365e-11,1.3679890560873452e-11,residential_light,cast_iron,0,5,StressMismatch(d2),-0.286,0.564,-0.278
6,0.3359,0.3359,0.3282,0.0986,0.8514,0.05,0.0020350109949215708,0.0020351308964638736,1.3679890560875084e-11,green_space,pvc,0,6,StressMismatch(d2),-0.2373,0.5155,-0.2782
7,0.3369,0.3369,0.3262,0.05,0.9,0.05,0.003270850725109167,0.0032712162214268096,1.3679890560873757e-11,green_space,pvc,0,7,StressMismatch(d2),-0.2869,0.5631,-0.2762
8,0.3353,0.3353,0.3294,0.05,0.9,0.05,5.4719562243502287e-11,1.8546558476846485e-09,1.3679890560873757e-11,residential_light,hdpe,0,8,StressMismatch(d2),-0.2853,0.5647,-0.2794
9,0.3378,0.3378,0.3243,0.05,0.9,0.05,6.802466128214524e-11,2.1765268069678125e-09,6.802466128214524e-11,residential_light,pvc,0,9,StressMismatch(d2),-0.2878,0.5622,-0.2743
10,0.3348,0.3348,0.3304,0.05,0.9,0.05,6.908494649851057e-09,0.00382259411210015,0.0038213671080711492,residential_dense,hdpe,0,10,StressMismatch(d2),-0.2848,0.5652,-0.2804
11,0.3363,0.3363,0.3275,0.05,0.9,0.05,8.522759215186299e-09,1.4321121376232534e-08,2.9072203586755384e-09,industrial,cast_iron,0,11,StressMismatch(d2),-0.2863,0.5637,-0.2775
12,0.3339,0.3339,0.3321,0.05,0.158,0.792,2.3925566403685935e-09,0.0038301124221276693,0.0038299615422296126,residential_light,pvc,0,12,FlowEfficiency(d3),-0.2839,-0.1759,0.4599
13,0.336,0.336,0.328,0.05,0.9,0.05,1.265156006971128e-07,1.9133984221271763e-07,9.577085246331049e-09,residential_dense,pvc,0,13,StressMismatch(d2),-0.286,0.564,-0.278
