day,zone_id,w1,w2,w3,drift_index,flood_event,land_use,drain_material,drain_age_yrs,year
0,7,0.3334,0.3334,0.3331,0.2004,0,green_space,pvc,11,0.0
0,20,0.3335,0.3335,0.3331,0.0953,0,residential_light,pvc,17,0.0
0,39,0.3334,0.3334,0.3332,0.1118,0,residential_light,pvc,13,0.0
0,40,0.3334,0.3334,0.3331,0.0441,0,industrial,concrete,31,0.0
0,52,0.3334,0.3334,0.3333,0.1211,0,green_space,cast_iron,27,0.0
0,94,0.3336,0.3336,0.3328,0.1203,0,industrial,clay,2,0.0
0,144,0.3334,0.3334,0.3333,0.0083,0,industrial,clay,25,0.0
0,147,0.3334,0.3334,0.3333,0.0108,0,industrial,hdpe,26,0.0
0,165,0.3334,0.3334,0.3332,0.0279,0,residential_dense,hdpe,33,0.0
0,186,0.3334,0.3334,0.3331,0.1784,0,green_space,pvc,15,0.0
0,221,0.3335,0.3335,0.3331,0.1608,0,residential_light,hdpe,4,0.0
0,238,0.3334,0.3334,0.3332,0.021,0,residential_dense,concrete,22,0.0
0,252,0.3334,0.3334,0.3332,0.0903,0,green_space,clay,33,0.0
0,258,0.3334,0.3334,0.3331,0.1196,0,residential_light,concrete,12,0.0
0,277,0.3335,0.3335,0.333,0.064,0,residential_dense,concrete,13,0.0
0,293,0.3335,0.3335,0.333,0.1104,0,industrial,clay,2,0.0
0,334,0.3334,0.3334,0.3332,0.1658,0,green_space,concrete,13,0.0
0,344,0.3334,0.3334,0.3332,0.0359,0,residential_light,pvc,27,0.0
0,387,0.3334,0.3334,0.3332,0.0509,0,industrial,clay,13,0.0
0,400,0.3334,0.3334,0.3331,0.0538,0,industrial,cast_iron,31,0.0
0,411,0.3336,0.3336,0.3329,0.1257,0,residential_dense,concrete,3,0.0
0,430,0.3334,0.3334,0.3332,0.1282,0,green_space,cast_iron,21,0.0
0,450,0.3334,0.3334,0.3332,0.0692,0,industrial,clay,13,0.0
0,512,0.3335,0.3335,0.333,0.1142,0,industrial,pvc,4,0.0
0,520,0.3334,0.3334,0.3332,0.032,0,mixed_use,pvc,25,0.0
0,564,0.3334,0.3334,0.3333,0.0184,0,industrial,concrete,28,0.0
0,586,0.3334,0.3334,0.3332,0.0434,0,residential_light,cast_iron,24,0.0
0,603,0.3334,0.3334,0.3332,0.0278,0,residential_light,concrete,27,0.0
0,667,0.3334,0.3334,0.3332,0.0335,0,commercial,concrete,28,0.0
0,668,0.3335,0.3335,0.3331,0.0669,0,mixed_use,pvc,17,0.0
0,675,0.3335,0.3335,0.3331,0.1465,0,mixed_use,clay,6,0.0
0,681,0.3335,0.3335,0.3331,0.1279,0,mixed_use,pvc,6,0.0
0,694,0.3334,0.3334,0.3332,0.0721,0,residential_dense,concrete,11,0.0
0,712,0.3335,0.3335,0.3331,0.0801,0,industrial,hdpe,8,0.0
0,717,0.3335,0.3335,0.333,0.0995,0,mixed_use,clay,14,0.0
0,718,0.3334,0.3334,0.3333,0.0146,0,residential_dense,cast_iron,26,0.0
0,750,0.3334,0.3334,0.3331,0.2088,0,green_space,pvc,5,0.0
0,773,0.3333,0.3333,0.3333,0.0013,0,mixed_use,concrete,31,0.0
0,774,0.3335,0.3335,0.333,0.0673,0,mixed_use,clay,20,0.0
0,785,0.3334,0.3334,0.3332,0.0287,0,commercial,concrete,30,0.0
0,793,0.3334,0.3334,0.3333,0.0238,0,residential_light,cast_iron,30,0.0
0,812,0.3333,0.3333,0.3333,0.003,0,residential_dense,cast_iron,23,0.0
0,819,0.3333,0.3333,0.3333,0.0065,0,residential_dense,hdpe,24,0.0
0,834,0.3333,0.3333,0.3333,0.0002,0,commercial,hdpe,22,0.0
0,854,0.3334,0.3334,0.3333,0.0248,0,residential_dense,hdpe,20,0.0
0,859,0.3334,0.3334,0.3331,0.0591,0,industrial,cast_iron,33,0.0
0,974,0.3334,0.3334,0.3332,0.0382,0,mixed_use,hdpe,21,0.0
0,977,0.3334,0.3334,0.3332,0.0198,0,commercial,clay,16,0.0
0,986,0.3335,0.3335,0.3331,0.1069,0,commercial,concrete,3,0.0
0,1011,0.3335,0.3335,0.3331,0.1244,0,mixed_use,pvc,10,0.0
0,1013,0.3334,0.3334,0.3332,0.0385,0,mixed_use,pvc,22,0.0
0,1020,0.3334,0.3334,0.3333,0.0124,0,commercial,concrete,20,0.0
0,1028,0.3334,0.3334,0.3332,0.0462,0,commercial,cast_iron,13,0.0
0,1036,0.3334,0.3334,0.3333,0.015,0,commercial,pvc,18,0.0
0,1073,0.3334,0.3334,0.3332,0.0422,0,commercial,hdpe,11,0.0
0,1080,0.3335,0.3335,0.3329,0.0815,0,commercial,concrete,6,0.0
0,1110,0.3335,0.3335,0.3331,0.0909,0,residential_dense,cast_iron,9,0.0
0,1196,0.3334,0.3334,0.3331,0.1722,0,residential_light,hdpe,5,0.0
0,1206,0.3334,0.3334,0.3332,0.2257,0,green_space,clay,5,0.0
0,1253,0.3334,0.3334,0.3332,0.0438,0,residential_light,clay,25,0.0
0,1288,0.3334,0.3334,0.3332,0.0418,0,residential_dense,concrete,31,0.0
0,1319,0.3335,0.3335,0.3331,0.0584,0,commercial,concrete,31,0.0
0,1324,0.3334,0.3334,0.3332,0.0724,0,commercial,pvc,12,0.0
0,1364,0.3335,0.3335,0.333,0.1236,0,residential_dense,concrete,4,0.0
0,1380,0.3334,0.3334,0.3331,0.1183,0,mixed_use,pvc,7,0.0
0,1407,0.3334,0.3334,0.3332,0.1314,0,green_space,concrete,24,0.0
0,1419,0.3334,0.3334,0.3332,0.0614,0,commercial,hdpe,13,0.0
0,1472,0.3336,0.3336,0.3328,0.0921,0,commercial,pvc,5,0.0
0,1502,0.3335,0.3335,0.3331,0.0624,0,residential_dense,cast_iron,9,0.0
0,1510,0.3335,0.3335,0.3331,0.0707,0,residential_dense,concrete,14,0.0
0,1520,0.3335,0.3335,0.333,0.0592,0,commercial,concrete,30,0.0
0,1525,0.3334,0.3334,0.3333,0.0207,0,commercial,concrete,16,0.0
0,1552,0.3334,0.3334,0.3333,0.0302,0,residential_dense,cast_iron,23,0.0
